streamer,twitch_profile,partner,language
umggaming,https://www.twitch.tv/umggaming,yes,English
pelegrino1993,https://www.twitch.tv/pelegrino1993,yes,Portuguese
lexveldhuis,https://www.twitch.tv/lexveldhuis,yes,English
czechcloud,https://www.twitch.tv/czechcloud,yes,Czech
itsraikz,https://www.twitch.tv/itsraikz,no,Spanish
iwilldominate,https://www.twitch.tv/iwilldominate,yes,English
jonzherka,https://www.twitch.tv/jonzherka,no,English
drjayfisto,https://www.twitch.tv/drjayfisto,yes,English
low4n,https://www.twitch.tv/low4n,yes,French
takesipon,https://www.twitch.tv/takesipon,yes,Chinese
jonvlogs,https://www.twitch.tv/jonvlogs,yes,Portuguese
robert87000,https://www.twitch.tv/robert87000,yes,French
axozer,https://www.twitch.tv/axozer,yes,Spanish
reetlol,https://www.twitch.tv/reetlol,yes,English
barcagamer,https://www.twitch.tv/barcagamer,yes,Spanish
aurateur,https://www.twitch.tv/aurateur,yes,English
kriszhadvice,https://www.twitch.tv/kriszhadvice,yes,Hungarian
revedtv,https://www.twitch.tv/revedtv,yes,German
xposed,https://www.twitch.tv/xposed,yes,English
mmorpg,https://www.twitch.tv/mmorpg,yes,English
purple_hs,https://www.twitch.tv/purple_hs,yes,English
gratis150ml,https://www.twitch.tv/gratis150ml,yes,Portuguese
avoidingthepuddle,https://www.twitch.tv/avoidingthepuddle,yes,English
riotgamesturkish,https://www.twitch.tv/riotgamesturkish,yes,Turkish
legoo,https://www.twitch.tv/legoo,yes,Turkish
ilame,https://www.twitch.tv/ilame,yes,Russian
diables,https://www.twitch.tv/diables,yes,Polish
mrsoki,https://www.twitch.tv/mrsoki,yes,Spanish
steelmage,https://www.twitch.tv/steelmage,yes,English
sidneyeweka,https://www.twitch.tv/sidneyeweka,yes,German
nicewigg,https://www.twitch.tv/nicewigg,yes,English
bobross,https://www.twitch.tv/bobross,yes,English
kyr_sp33dy,https://www.twitch.tv/kyr_sp33dy,yes,English
lol_nemesis,https://www.twitch.tv/lol_nemesis,yes,English
valorant,https://www.twitch.tv/valorant,yes,English
uthenera,https://www.twitch.tv/uthenera,yes,Turkish
guit88man,https://www.twitch.tv/guit88man,yes,Russian
justcooman,https://www.twitch.tv/justcooman,yes,Russian
ogamingsc2,https://www.twitch.tv/ogamingsc2,yes,French
sonycast_,https://www.twitch.tv/sonycast_,yes,Korean
cdnthe3rd,https://www.twitch.tv/cdnthe3rd,yes,English
pgod,https://www.twitch.tv/pgod,yes,Spanish
blitzstream,https://www.twitch.tv/blitzstream,yes,French
x6flipin,https://www.twitch.tv/x6flipin,yes,Spanish
warframe,https://www.twitch.tv/warframe,yes,English
boyminoru,https://www.twitch.tv/boyminoru,yes,Thai
sutanmi,https://www.twitch.tv/sutanmi,yes,Japanese
by_owl,https://www.twitch.tv/by_owl,yes,Russian
lol_selfmade,https://www.twitch.tv/lol_selfmade,yes,English
flexz,https://www.twitch.tv/flexz,yes,Spanish
willerz,https://www.twitch.tv/willerz,yes,English
elon_musk75,https://www.twitch.tv/elon_musk75,no,English
gustavocsgoyt,https://www.twitch.tv/gustavocsgoyt,yes,Spanish
eret,https://www.twitch.tv/eret,yes,English
mastersnakou,https://www.twitch.tv/mastersnakou,yes,French
therunningmanz,https://www.twitch.tv/therunningmanz,yes,English
neckolol,https://www.twitch.tv/neckolol,yes,Spanish
kubon_,https://www.twitch.tv/kubon_,yes,Polish
odablock,https://www.twitch.tv/odablock,yes,English
blasttv,https://www.twitch.tv/blasttv,yes,English
skyshocktv,https://www.twitch.tv/skyshocktv,yes,Spanish
loserfruit,https://www.twitch.tv/loserfruit,yes,English
sweetdreams,https://www.twitch.tv/sweetdreams,yes,English
xandaoogod,https://www.twitch.tv/xandaoogod,no,Portuguese
averagejonas,https://www.twitch.tv/averagejonas,yes,English
rooftopcat99,https://www.twitch.tv/rooftopcat99,yes,Korean
sleepy,https://www.twitch.tv/sleepy,yes,English
multiplayerit,https://www.twitch.tv/multiplayerit,yes,Italian
tebtv,https://www.twitch.tv/tebtv,yes,English
grimmmz,https://www.twitch.tv/grimmmz,yes,English
